ingredient_item_text,ingredient_positions,atc_code,atc_display,ingredient_coding_code_cas,ingredient_coding_display_cas,ingredient_coding_code_ask,found_ask_id,found_cas_code,found_cas_display,cas_quelle,action,comment,dirty_type,corrected_ingredient_text,corrected_ingredient_positions,additional_ask_id,additional_cas_code,additional_cas_display
"Fettsäuren (C18:2), ungesättigt",1,D02AX00,,,,,15405,,Ungesättigte Fettsäuren,BEZVO CSV,add_name_mapping,C18:2 fatty acid mixture; not a single chemically defined substance.,,,,,,
Flecainid acetat,1,C01BC04,Flecainid,,,,21899,54143-56-5,Flecainidacetat,BEZVO CSV,add_name_mapping,,,,,,,
"Flohsamenschalen, indische",1,A06AC01,Ispaghula (Flohsamen),,,,,8063-16-9,Psyllium husk,https://pubchem.ncbi.nlm.nih.gov/substance/135282130,add_new_substance,,,,,,,
Fluorescein-Natrium,2,S01JA51,"Fluorescein, Kombinationen",,,,2064,518-47-8,Fluorescein-Natrium (Ph.Eur.),BEZVO CSV,check_mapping_or_join,Exact DWH name already exists under ASK 02064 with CAS 518-47-8.,,,,,,
Flupentixol decanoat,1,N05AF01,Flupentixol,,,,3371,30909-51-4,Flupentixoldecanoat,BEZVO CSV,add_name_mapping,,,,,,,
Flupredniden 21-acetat,2,D01AA20,Antibiotika in Kombination mit Corticosteroiden,,,,3666,1255-35-2,Flupredniden-21-acetat,BEZVO CSV,check_mapping_or_join,,,,,,,
Flupredniden 21-acetat,2,D01AC20,Imidazole/Triazole in Kombination mit Corticosteroiden,,,,3666,1255-35-2,Flupredniden-21-acetat,BEZVO CSV,check_mapping_or_join,,,,,,,
Flurbiprofen natrium-2-Wasser,1,S01BC04,Flurbiprofen,,,,16603,1584155-62-3,Flurbiprofen-Natrium-Dihydrat,BEZVO CSV,add_name_mapping,,,,,,,
Fluticason 17-propionat,1,R01AD08,Fluticason,,,,23857,80474-14-2,Fluticasonpropionat (Ph.Eur.),BEZVO CSV,check_mapping_or_join,Normalized DWH name already exists under ASK 23857 with CAS 80474-14-2.,,,,,,
Fluticason 17-propionat,2,R03AK06,Salmeterol und Fluticason,,,,23857,80474-14-2,Fluticasonpropionat (Ph.Eur.),BEZVO CSV,check_mapping_or_join,Normalized DWH name already exists under ASK 23857 with CAS 80474-14-2.,,,,,,
Formoterol hemifumarat-1-Wasser,1,R03AC13,Formoterol,,,,23761,183814-30-4,Formoterolfumarat-Dihydrat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
Formoterol hemifumarat-1-Wasser,2,R03AK07,Formoterol und Budesonid,,,,23761,183814-30-4,Formoterolfumarat-Dihydrat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
Formoterol hemifumarat-1-Wasser,2,R03AK08,Formoterol und Beclometason,,,,23761,183814-30-4,Formoterolfumarat-Dihydrat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
Formoterol hemifumarat-1-Wasser,2,R03AL05,Formoterol und Aclidiniumbromid,,,,23761,183814-30-4,Formoterolfumarat-Dihydrat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
Formoterol hemifumarat-1-Wasser,2,R03AL09,"Formoterol, Glycopyrroniumbromid und Beclometason",,,,23761,183814-30-4,Formoterolfumarat-Dihydrat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
Foscarnet natrium-6-Wasser,1,J05AD01,Foscarnet,,,,27424,34156-56-4,Foscarnet-Natrium-Hexahydrat,BEZVO CSV,add_name_mapping,,,,,,,
Gentamicin sulfat,2,J01GB03,Gentamicin,,,,3989,1405-41-0,Gentamicinsulfat,BEZVO CSV,add_name_mapping,,,,,,,
Gentamicin sulfat,1,S01AA11,Gentamicin,,,,3989,1405-41-0,Gentamicinsulfat,BEZVO CSV,add_name_mapping,,,,,,,
Gesamt-Plasmaprotein (human),1,J06BA02,"Immunglobuline, normal human, zur intravasalen Anwendung",,,,10679,871903-86-5,Plasmaproteine vom Menschen,BEZVO CSV,add_name_mapping,,,,,,,
"Glucagon, rekombiniert",1,H04AA01,Glucagon,,,,6851,16941-32-5,Glucagon,BEZVO CSV,add_name_mapping,,,,,,,
"Glucose, wasserfrei zur parenteralen Anwendung",1,B05BA11,Glucose,,,,12829,50-99-7,Glucose,BEZVO CSV,add_name_mapping,DWH name denotes anhydrous glucose; the parenteral-use qualifier does not change the substance.,,,,,,
"Glucose, wasserfrei zur parenteralen Anwendung",1,V07AB10,Verschiedene Verduennungsloesungen,,,,12829,50-99-7,Glucose,BEZVO CSV,add_name_mapping,,,,,,,
Glucose-1-Wasser,1,V04CA02,Glucose,,,,133,14431-43-7,Glucose-Monohydrat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
"Glucose-Testzone, Blut",1,V04CA03,"Glucose-Testzone, Blut",,,,,,,,not_mappable_general_category,"Diagnostic test zone, not a single chemically defined substance.",,,,,,
Glycerol 85%,1,A06AX01,Glycerol,,Glycerol 85%,12816,12816,56-81-5,Glycerol 85%,BEZVO CSV,add_missing_cas_code,"CAS 56-81-5 refers to glycerol; 85% indicates the concentration, not a different substance.",,,,,,
Glycopyrronium-Kation,2,R03AL04,Indacaterol und Glycopyrroniumbromid,,,,36604,13283-82-4,Glycopyrronium,BEZVO CSV,add_name_mapping,DWH name denotes glycopyrronium cation without specified stereochemistry.,,,,,,
Glycopyrronium-Kation,3,R03AL09,"Formoterol, Glycopyrroniumbromid und Beclometason",,,,36604,13283-82-4,Glycopyrronium,BEZVO CSV,add_name_mapping,,,,,,,
Glycopyrronium-Kation,2,R03AL12,"Indacaterol, Glycopyrroniumbromid und Mometason",,,,36604,13283-82-4,Glycopyrronium,BEZVO CSV,add_name_mapping,,,,,,,
Glycopyrronium-Kation,1,R03BB06,Glycopyrroniumbromid,,,,36604,13283-82-4,Glycopyrronium,BEZVO CSV,add_name_mapping,,,,,,,
Gonadorelin acetat,1,V04CM01,Gonadorelin,,,,14444,34973-08-5,Gonadorelinacetat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
Heparin natrium vom Schwein,1,B01AB01,Heparin,,,,1165,9041-08-1,Heparin-Natrium,BEZVO CSV,add_name_mapping,,,,,,,
Heparin natrium vom Schwein,1,C05BA03,Heparin,,,,1165,9041-08-1,Heparin-Natrium,BEZVO CSV,add_name_mapping,,,,,,,
"Hepatitis A, inaktiviert, ganzes Virus",1,J07BC02,"Hepatitis A, inaktiviert, ganzes Virus",,,,,,,,not_mappable_general_category,General inactivated whole-virus vaccine antigen; strain and product are unspecified.,,,,,,
Hepatitis-B-Immunglobulin vom Menschen,1,J06BB04,Hepatitis-B-Immunglobulin,,,,,,,,not_mappable_general_category,Polyclonal human hepatitis B immunoglobulin; monoclonal antibody CAS records are not applicable.,,,,,,
"Hepatitis-B-Impfstoff, rekombiniert, monovalent",1,J07BC01,"Hepatitis B, gereinigtes Antigen",,,,,104504-34-9,Hepatitis B vaccine,https://pubchem.ncbi.nlm.nih.gov/compound/23308253,add_new_substance,Recombinant hepatitis B vaccine has a CAS but no corresponding BEZVO ASK.,,,,,,
Herbstzeitlose-Gesamtalkaloide,1,M04AC01,Colchicin,,,,,,,,not_mappable_general_category,"Plant extract with multiple colchicum alkaloids, not pure colchicine.",,,,,,
Hopfenzapfen-Trockenextrakt,2,N05CP30,Kombinationen,,,,1128,8060-28-4,Hopfenzapfen,BfArM BEZVO ASK #01128; https://pubchem.ncbi.nlm.nih.gov/compound/23308253,add_missing_cas_code,,,,,,,
Hyaluronidase vom Rind,1,B06AA03,Hyaluronidase,,,,2094,9001-54-1,Hyaluronidase,BEZVO CSV,add_name_mapping,,,,,,,
Hyaluronsäure,1,S01KA01,Hyaluronsaeure,,,,12770,9004-61-9,Hyaluronsäure ((mit Angaben zur Herkunft)),BEZVO CSV,add_name_mapping,DWH name is a shortened form of the BEZVO hyaluronic acid record.,,,,,,
Hyaluronsäure,1,S01XA45,Hyaluronsaeure,,,,12770,9004-61-9,Hyaluronsäure ((mit Angaben zur Herkunft)),BEZVO CSV,add_name_mapping,,,,,,,
Hydromorphon hydrochlorid,1,N02AA03,Hydromorphon,,,,108,71-68-1,Hydromorphonhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
Hydroxychloroquin sulfat,1,P01BA02,Hydroxychloroquin,,,,7415,747-36-4,Hydroxychloroquinsulfat,BEZVO CSV,add_name_mapping,,,,,,,
Hypromellose,1,S01KA02,Hypromellose,,,,1333,9004-65-3,Hypromellose ((ohne Angaben zum Substitutionstyp und zur Viskosität)),BEZVO CSV,add_missing_cas_code,,,,,,,
Hypromellose,1,S01XC05,Hypromellose,,,,1333,9004-65-3,Hypromellose ((ohne Angaben zum Substitutionstyp und zur Viskosität)),BEZVO CSV,add_missing_cas_code,,,,,,,
Hämagglutinin,1,J07BB02,"Influenza, inaktiviert, Spaltvirus oder Oberflaechenantigen",,,,,,,,not_mappable_general_category,Combined haemagglutinin antigens from multiple influenza strains; no single CAS applies.,,,,,,
Ibuprofen DL-lysin,1,M01AE01,Ibuprofen,,,,23391,57469-76-8,Ibuprofen-ᴅʟ-Lysin (1:1),BEZVO CSV,add_name_mapping,,,,,,,
Immunglobulin vom Menschen,1,J06BA01,"Immunglobuline, normal human, zur extravasalen Anwendung",,,,,,,,not_mappable_general_category,Polyclonal human IgG preparation containing many different antibodies; no single CAS applies.,,,,,,
Immunglobulin vom Menschen,1,J06BA02,"Immunglobuline, normal human, zur intravasalen Anwendung",,,,,,,,not_mappable_general_category,Polyclonal human IgG preparation containing many different antibodies; no single CAS applies.,,,,,,
"Indapamid-0,5-Wasser",1,C03BA11,Indapamid,,,,12253,180004-24-4,Indapamid-Hemihydrat,https://pubchem.ncbi.nlm.nih.gov/compound/23725081,add_missing_cas_code,,,,,,,
"Indocyaningrün, Mononatriumsalz",1,V04CX01,Indocyaningruen,,,,10754,3599-32-4,Indocyaningrün-Mononatriumsalz,BEZVO CSV,add_name_mapping,,,,,,,
Insulin,1,A10AD01,Insulin (human),,,,22265,,,BEZVO CSV,wrong_split_dwh,"Part of the incorrectly split name 'Insulin, normal (human)'.",,,,,,
Insulin aspart-Isophan,2,A10AD05,Insulin aspart,,,,24022,116094-23-6,Insulin aspart,BEZVO CSV,add_name_mapping,,,,,,,
Insulin lispro-Isophan,2,A10AD04,Insulin lispro,,,,26888,133107-64-9,Insulin lispro,BEZVO CSV,add_name_mapping,,,,,,,
"Insulin, normal (human)",1,A10AB01,Insulin (human),,,,22265,11061-68-0,Insulin human ((mit Angaben zur Herstellung)),BEZVO CSV,add_name_mapping,,,,,,,
Insulin-Isophan (human),1,A10AC01,Insulin (human),,,,11940,53027-39-7,Isophan-Insulin-Suspension zur Injektion (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
"Iod, organisch gebunden",1,V08AA20,Kombinationen,,,,,,,,not_mappable_general_category,General iodine-content term; the specific contrast substance is not identified.,,,,,,
"Iod, organisch gebunden",1,V08AD01,Ethylester iodierter Fettsaeuren,,,,,,,,not_mappable_general_category,,,,,,,
Iodid-Ion,2,H03AA51,Levothyroxin-Natrium und Iod-Verbindungen,,,,1329,20461-54-5,Iodid,BEZVO CSV,add_name_mapping,,,,,,,
Iodid-Ion,1,H03CA01,Iodide,,,,1329,20461-54-5,Iodid,BEZVO CSV,add_name_mapping,,,,,,,
Ipratropium bromid-1-Wasser,1,R03AL01,Fenoterol und Ipratropiumbromid,,,,19720,66985-17-9,Ipratropiumbromid (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
Isoprenalin hydrochlorid,1,C01CA02,Isoprenalin,,,,7442,51-30-9,Isoprenalinhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
Isosorbid dinitrat,1,C01DA08,Isosorbiddinitrat,,,,5595,87-33-2,Isosorbiddinitrat,BEZVO CSV,add_name_mapping,,,,,,,
Isosorbid mononitrat,1,C01DA14,Isosorbidmononitrat,,,,21993,16051-77-7,Isosorbidmononitrat,BEZVO CSV,add_name_mapping,,,,,,,
Kalium canrenoat,1,C03DA02,Kaliumcanrenoat,,,,7205,2181-04-6,Kaliumcanrenoat,BEZVO CSV,add_name_mapping,,,,,,,
Kalium-Ion,1,A12BA30,Kalium (verschiedene Salze in Kombination),,,,1305,24203-36-9,Kalium-Ion,BEZVO CSV,check_mapping_or_join,Exact normalized DWH name already exists under the correct ASK.,,,,,,
Kamillenblüten-Extrakt,"2, 3",A01AE51,"Lidocain, Kombinationen",,,,,84082-60-0,Chamomilla recutita flower extract,https://echa.europa.eu/substance-information/-/substanceinfo/100.074.527,add_new_substance,Chamomile flower extract has CAS 84082-60-0; no suitable BEZVO ASK was found.,,,,,,
Kamillenblüten-Extrakt und Schafgarbenkraut-Extrakt,1,A03AP30,Kombinationen,,,,,,,,not_mappable_general_category,Combined chamomile and yarrow mixed extract; no single ASK or CAS applies.,,,,,,
Kanamycin sulfat-1-Wasser,1,S01AA24,Kanamycin,,,,2231,5965-95-7,Kanamycinmonosulfat (Ph.Eur.),BEZVO CSV,add_name_mapping,,,,,,,
Kiefernnadelöl,2,R04AP30,Kombinationen,,Kiefernnadelöl,1747,1747,8023-99-2,Pine Needle Oil (Pinus Sylvestris),https://pubchem.ncbi.nlm.nih.gov/compound/Pine-Needle-Oil-_Pinus-Sylvestris,add_missing_cas_code,,,,,,,
Kollagen vom Pferd,1,J01GB03,Gentamicin,,,,18245,9007-34-5,Kollagen ((mit Angaben zur Herkunft)),BEZVO CSV,add_name_mapping,,,,,,,
"Kollagen, Kombinationen",1,B02BC57,"Kollagen, Kombinationen",,,,,,,,not_mappable_general_category,Unspecified collagen combination; individual components are not available.,,,,,,
Kombinationen,1,D03BA20,Kombinationen,,,,,,,,not_mappable_general_category,Generic combination label; the actual active ingredients are not specified.,,,,,,
Kombinationen,1,R01AX30,Kombinationen,,,,,,,,not_mappable_general_category,Generic combination label; the actual active ingredients are not specified.,,,,,,
Kombinationen Hepatitis-Impfstoffen,1,J07BC20,Kombinationen,,,,,,,,not_mappable_general_category,Generic vaccine combination category; no specific antigen or substance is provided.,,,,,,
Kombinationen der Lösungen zur parenteralen Ernährung,1,B05BA10,Kombinationen,,,,,,,,not_mappable_general_category,Generic parenteral nutrition combination; no specific substance is provided.,,,,,,
Künstliche Tränen und andere indifferente Mittel,1,S01XA20,Kuenstliche Traenen und andere indifferente Mittel,,,,,,,,not_mappable_general_category,ATC category rather than a specific mappable substance.,,,,,,
Lactobacillus acidophilus-Kulturlyophilisat,1,G03CC06,Estriol,,,,,,,,not_mappable_general_category,Lyophilized Lactobacillus acidophilus culture; no single chemical CAS applies.,,,,,,
Lanthan(III)-Ion,1,V03AE03,Lanthan(III)-carbonat,,,,34213,54451-24-0,Lanthan(Ⅲ)-carbonat-Hydrat ((mit Angaben zum Wasser-Gehalt (1:x))),BEZVO CSV,add_name_mapping,,,,,,,
Lercanidipin hydrochlorid,1,C08CA13,Lercanidipin,,,,24911,132866-11-6,Lercanidipinhydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
Levocetirizin dihydrochlorid,1,R06AE09,Levocetirizin,,,,31082,130018-87-0,Levocetirizindihydrochlorid,BEZVO CSV,add_name_mapping,,,,,,,
