"atc_code","atc_display","dwh_wirkstoff","found_ask","cas_display","cas_name_source","action_import","comment"
"V04CX09","Patentblau V","Patentblau V, Natriumsalz","34186","Patentblau-Ⅴ-Natriumsalz","BfArM BEZVO","add_cas_name",""
"C01DA05","Pentaerythrityltetranitrat","Pentaerythrityltetranitrat","1848","Pentaerithrityltetranitrat","BfArM BEZVO","add_cas_name",""
"P01CX01","Pentamidindiisetionat","Pentamidin diisetionat","13721","Pentamidindiisetionat","BfArM BEZVO","add_cas_name",""
"V03AB47","Pentetsaeure","Pentetsäure, Calcium-Trinatriumsalz","3859","Calcium-trinatrium-pentetat ((gegebenenfalls mit Angaben zum Wassergehalt))","BfArM BEZVO","add_cas_name",""
"P03AC04","Permethrin","Permethrin","20807","Permethrin ((mit Angaben zum cis:trans-Verhältnis [rac-(1R,3R):rac-(1R,3S)-Verhältnis]))","BfArM BEZVO","add_cas_name",""
"N02AB02","Pethidin","Pethidin hydrochlorid","200","Pethidinhydrochlorid","BfArM BEZVO","add_cas_name",""
"D08AJ57","Octenidin, Kombinationen","Phenoxyethanol","3239","Phenoxyethanol (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"S01FB01","Phenylephrin","Phenylephrin hydrochlorid","1685","Phenylephrinhydrochlorid","BfArM BEZVO","add_cas_name",""
"B05XA14","Dinatrium-1-glycerophosphat","Phosphat-Ion","5011","Phosphat","BfArM BEZVO","add_cas_name",""
"V03AB19","Physostigmin","Physostigmin salicylat","262","Physostigminsalicylat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"S01EB01","Pilocarpin","Pilocarpin hydrochlorid","263","Pilocarpinhydrochlorid","BfArM BEZVO","add_cas_name",""
"J01CA08","Pivmecillinam","Pivmecillinam hydrochlorid","21902","Pivmecillinamhydrochlorid","BfArM BEZVO","add_cas_name",""
"B05AA01","Albumin","Plasmaprotein (human)","10679","Plasmaproteine vom Menschen","BfArM BEZVO","add_cas_name",""
"V03AE01","Polystyrolsulfonat","Poly(styrol-co-divinylbenzol)sulfonsäure (92:8), Calciumsalz","52176","Poly(styrol-co-divinylbenzol)sulfonsäure-(92:8)-Calciumsalz","BfArM BEZVO","add_cas_name","Specific 92:8 cross-linked calcium resin matched; no corresponding CAS confirmed."
"V03AE01","Polystyrolsulfonat","Poly(styrol-co-divinylbenzol)sulfonsäure (92:8), Natriumsalz","8540","Poly(styrol-co-divinylbenzol)sulfonsäure-(x:y)-Natriumsalz","BfArM BEZVO","add_cas_name",""
"H02AB06","Prednisolon","Prednisolon 21-hydrogensuccinat, Natriumsalz","2806","Natrium(prednisolon-21-succinat)","BfArM BEZVO","add_cas_name",""
"S01BA04","Prednisolon","Prednisolon acetat","1270","Prednisolonacetat","BfArM BEZVO","add_cas_name",""
"N01BB04|N01BB54","Prilocain|Prilocain, Kombinationen","Prilocain hydrochlorid","7720","Prilocainhydrochlorid","BfArM BEZVO","add_cas_name",""
"S02DA55","Procain, Kombinationen","Procain hydrochlorid","271","Procainhydrochlorid","BfArM BEZVO","add_cas_name",""
"P01BB51","Proguanil und Atovaquon","Proguanil hydrochlorid","17129","Proguanilhydrochlorid","BfArM BEZVO","add_cas_name",""
"N05CM22|R06AD02","Promethazin|Promethazin","Promethazin hydrochlorid","3720","Promethazinhydrochlorid","BfArM BEZVO","add_cas_name",""
"G04BD06","Propiverin","Propiverin hydrochlorid","23144","Propiverinhydrochlorid","BfArM BEZVO","add_cas_name",""
"C07AA05","Propranolol","Propranolol hydrochlorid","7597","Propranololhydrochlorid","BfArM BEZVO","add_cas_name",""
"V03AB14","Protamin","Protamin sulfat","1151","Protaminsulfat ((mit Angaben zur Herstellung und zum Schwefelsäure-Gehalt))","BfArM BEZVO","add_cas_name",""
"B01AD12","Protein C","Protein C (human)","10669","Protein C","BfArM BEZVO","add_cas_name","Human plasma-derived Protein C matched; no unambiguous CAS confirmed."
"S01HA04","Proxymetacain","Proxymetacain hydrochlorid","5881","Proxymetacainhydrochlorid","BfArM BEZVO","add_cas_name",""
"R01BA60","Pseudoephedrin und Cetirizin","Pseudoephedrin hydrochlorid","9585","Pseudoephedrinhydrochlorid","BfArM BEZVO","add_cas_name",""
"N07AA02","Pyridostigmin","Pyridostigmin bromid","701","Pyridostigminbromid","BfArM BEZVO","add_cas_name",""
"A11HA02|J04AC51|N07XB52","Pyridoxin (Vitamin B6)|Isoniazid, Kombinationen|Thiamin, Kombinationen","Pyridoxin hydrochlorid","275","Pyridoxinhydrochlorid","BfArM BEZVO","add_cas_name",""
"V03AB43","DMPS","rac-(2R)-2,3-Bis(sulfanyl)propan-1-sulfonsäure, Natriumsalz","16542","rac-(2R)-2,3-Bis(sulfanyl)propan-1-sulfonsäure-Natriumsalz","BfArM BEZVO","add_cas_name",""
"R03CC14","Reproterol","Reproterol hydrochlorid","12122","Reproterolhydrochlorid","BfArM BEZVO","add_cas_name",""
"A11CA01|R01AX30|X99XK01","Retinol (Vitamin A)|Kombinationen|","Retinol palmitat","832","Retinolpalmitat","BfArM BEZVO","add_cas_name",""
"M03AC09","Rocuroniumbromid","Rocuronium bromid","25794","Rocuroniumbromid","BfArM BEZVO","add_cas_name",""
"N01BB09","Ropivacain","Ropivacain hydrochlorid","33612","Ropivacainhydrochlorid","BfArM BEZVO","add_cas_name",""
"A07FA02","Saccharomyces boulardii","Saccharomyces boulardii, Trockenhefe","1480","Trockenhefe aus Saccharomyces cerevisiae","PubChem SID 505880243","add_cas_name",""
"A12CE02","Natriumselenit","Selen(IV)-Ion","43772","Selen(Ⅳ)-Ion","BfArM BEZVO","add_cas_name",""
"V03AE02","Sevelamer","Sevelamer carbonat","34815","Sevelamercarbonat","BfArM BEZVO","add_cas_name",""
"G04BD08","Solifenacin","Solifenacin succinat","25892","Solifenacinsuccinat","BfArM BEZVO","add_cas_name",""
"C07AA07","Sotalol","Sotalol hydrochlorid","11569","Sotalolhydrochlorid","BfArM BEZVO","add_cas_name",""
"C01AA02","Acetyldigoxin","ß-Acetyldigoxin","2074","β-Acetyldigoxin","BfArM BEZVO","add_cas_name",""
"M03AB01","Suxamethonium","Suxamethonium chlorid","523","Suxamethoniumchlorid (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"G04CA02|G04CA52","Tamsulosin|Tamsulosin und Dutasterid","Tamsulosin hydrochlorid","23010","Tamsulosinhydrochlorid","BfArM BEZVO","add_cas_name",""
"J05AF07|J05AR03","Tenofovirdisoproxil|Tenofovirdisoproxil und Emtricitabin","Tenofovir disoproxil","30971","Tenofovirdisoproxil","BfArM BEZVO","add_cas_name",""
"R03CC03","Terbutalin","Terbutalin hemisulfat","5727","Terbutalinsulfat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"H01BA04","Terlipressin","Terlipressin diacetat-5-Wasser","34476","Terlipressindiacetat-Pentahydrat","BfArM BEZVO","add_cas_name",""
"G03BA03","Testosteron","Testosteron undecanoat","12858","Testosteronundecanoat","BfArM BEZVO","add_cas_name",""
"J06BB02","Tetanus-Immunglobulin","Tetanus-Immunglobulin vom Menschen","35195","Immunglobuline gegen Tetanustoxin","BfArM BEZVO","add_cas_name","Human tetanus immunoglobulin has no assigned CAS."
"S01GA02","Tetryzolin","Tetryzolin hydrochlorid","5159","Tetryzolinhydrochlorid","BfArM BEZVO","add_cas_name",""
"C01CA30","Kombinationen","Theodrenalin hydrochlorid","5831","Theodrenalinhydrochlorid","BfArM BEZVO","add_cas_name",""
"A11DA01|N07XB52","Thiamin (Vitamin B1)|Thiamin, Kombinationen","Thiamin hydrochlorid","30","Thiaminchloridhydrochlorid","BfArM BEZVO","add_cas_name",""
"A11DA01|N07XB52","Thiamin (Vitamin B1)|Thiamin, Kombinationen","Thiamin hydrochlorid","30","Thiaminchloridhydrochlorid","BfArM BEZVO","add_cas_name",""
"B02BC51","Blutgerinnungsfaktoren, Kombinationen","Thrombin (human)","27195","Thrombin","BfArM BEZVO","add_cas_name",""
"N02AX51","Tilidin und Naloxon","Tilidin hydrochlorid","35727","Tilidinhydrochlorid","BfArM BEZVO","add_cas_name",""
"M03BX04","Tolperison","Tolperison hydrochlorid","12375","Tolperisonhydrochlorid","BfArM BEZVO","add_cas_name",""
"N02AX02","Tramadol","Tramadol hydrochlorid","8720","Tramadolhydrochlorid","BfArM BEZVO","add_cas_name",""
"N06AX05","Trazodon","Trazodon hydrochlorid","18677","Trazodonhydrochlorid","BfArM BEZVO","add_cas_name",""
"A09AA02","Multienzyme (Lipase, Protease etc.)","Triacylglycerollipase","4955","Triacylglycerol-Lipase","BfArM BEZVO","add_cas_name",""
"H02AB58","Triamcinolon-Depot","Triamcinolon acetonid","1036","Triamcinolonacetonid","BfArM BEZVO","add_cas_name",""
"G04BD09","Trospium","Trospium chlorid","7051","Trospiumchlorid","BfArM BEZVO","add_cas_name",""
"R03AL03|R03AL08","Vilanterol und Umeclidiniumbromid|Vilanterol, Umeclidiniumbromid und Fluticasonfuroat","Umeclidinium-Kation","36621","Umeclidinium","BfArM BEZVO","add_cas_name",""
"R03AL03|R03AL08","Vilanterol und Umeclidiniumbromid|Vilanterol, Umeclidiniumbromid und Fluticasonfuroat","Umeclidinium-Kation","36621","Umeclidinium","BfArM BEZVO","add_cas_name",""
"N03AG01","Valproinsaeure","Valproat natrium","8342","Natriumvalproat","BfArM BEZVO","add_cas_name",""
"X99XB01","","Vaselin, weißes","334","Weißes Vaselin","BfArM BEZVO","add_cas_name",""
"C08DA01","Verapamil","Verapamil hydrochlorid","5771","Verapamilhydrochlorid","BfArM BEZVO","add_cas_name",""
"B02BD06","Von Willebrand-Faktor und Blutgerinnungsfaktor VIII in Kombination","Von Willebrand-Faktor","21440","Von Willebrand-Faktor","NCATS Inxight Drugs","add_cas_name",""
"R01AA07","Xylometazolin","Xylometazolin hydrochlorid","6397","Xylometazolinhydrochlorid","BfArM BEZVO","add_cas_name",""
"A12CB05|B05XA26","Zinkhydrogenaspartat|Zinkhydrogenaspartat","Zinkbis(hydrogen-DL-aspartat)","5630","Zinkbis(hydrogen-ᴅʟ-aspartat)","PubChem CID 131953541","add_cas_name",""
"D06BB00","","Zinksulfat-7-Wasser","364","Zinksulfat-Heptahydrat","BfArM BEZVO","add_cas_name",""
"N05CF02","Zolpidem","Zolpidem hemitartrat","22790","Zolpidemtartrat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"B05AX41","Erythrozyten ohne Pharmazentralnummer","Erythrozyten, UNbestrahlt ITIB","21444","Human-Erythrozyten","BfArM BEZVO","add_cas_name","DWH term refers to human erythrocytes; no specific CAS applies."
