"atc_code","atc_display","dwh_wirkstoff","found_ask","cas_display","cas_name_source","action_import","comment"
"S01XC07","Carbomer","Carbomer 980","13346","Carbomer ((ohne Angaben zum Typ))","BfArM BEZVO","add_cas_name",""
"R01BA60|R06AE07","Pseudoephedrin und Cetirizin|Cetirizin","Cetirizin dihydrochlorid","22788","Cetirizindihydrochlorid","BfArM BEZVO","add_cas_name",""
"R02AA56|R02AX03","Cetylpyridinium, Kombinationen|Benzydamin","Cetylpyridinium chlorid","733","Cetylpyridiniumchlorid","BfArM BEZVO","add_cas_name",""
"R02AA56","Cetylpyridinium, Kombinationen","Cetylpyridinium chlorid-1-Wasser","15304","Cetylpyridiniumchlorid (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"R02AA20","Verschiedene","Cetylpyridinium-Kation","36215","Cetylpyridinium","BfArM BEZVO","add_cas_name",""
"M09AA02","Chinin","Chinin hemisulfat-2-Wasser","75","Chininsulfat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"A01AB03","Chlorhexidin","Chlorhexidin digluconat","4898","Chlorhexidinbis(ᴅ-gluconat)","BfArM BEZVO","add_cas_name",""
"P01BA01","Chloroquin","Chloroquin phosphat","6547","Chloroquinphosphat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"N05AF03","Chlorprothixen","Chlorprothixen hydrochlorid","6910","Chlorprothixenhydrochlorid","BfArM BEZVO","add_cas_name",""
"L04AD01","Ciclosporin","Ciclosporin, mikroemulgiert","22510","Ciclosporin","BfArM BEZVO","add_cas_name",""
"C05AD04","Cinchocain","Cinchocain hydrochlorid","2813","Cinchocainhydrochlorid","BfArM BEZVO","add_cas_name",""
"M03AC11","Cisatracurium","Cisatracurium-Kation","37589","Cisatracurium","BfArM BEZVO","add_cas_name",""
"N05CM02","Clomethiazol","Clomethiazol edisilat","6968","Clomethiazolhemiedisilat","BfArM BEZVO","add_cas_name",""
"C02AC01|N07BB11|S01EA04","Clonidin|Clonidin|Clonidin","Clonidin hydrochlorid","4866","Clonidinhydrochlorid","BfArM BEZVO","add_cas_name",""
"M03AX21","Botulinumtoxin Typ A","Clostridium botulinum (Onabotulinum) Toxin Typ A","26170","Botulinum-Toxin Typ A zur Injektion (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"R05DA04","Codein","Codein phosphat-0,5-Wasser","87","Codeinphosphat-Hemihydrat","BfArM BEZVO","add_cas_name",""
"N06BC01","Coffein","Coffein citrat","879","Coffein-Citronensäure-Gemisch (1:1)","BfArM BEZVO","add_cas_name",""
"C10AC01","Colestyramin","Colestyramin","4629","Colestyramin ((mit Zusatz einer Zahl, die durch 10 geteilt, den ungefähren Prozent-Gehalt an Diethenylbenzol angibt))","BfArM BEZVO","add_cas_name",""
"S01GX01","Cromoglicinsaeure","Cromoglicinsäure, Dinatriumsalz","21625","Natriumcromoglicat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"S01FA04","Cyclopentolat","Cyclopentolat hydrochlorid","6937","Cyclopentolathydrochlorid","BfArM BEZVO","add_cas_name",""
"R06AX02","Cyproheptadin","Cyproheptadin hydrochlorid","7244","Cyproheptadinhydrochlorid","BfArM BEZVO","add_cas_name",""
"B05XA19","Calciumgluconat","D-Gluconsäure, Calciumsalz-1-Wasser","60","Calciumgluconat-Monohydrat","BfArM BEZVO","add_cas_name",""
"B01AE07","Dabigatranetexilat","Dabigatran etexilat","30260","Dabigatranetexilat","BfArM BEZVO","add_cas_name",""
"B01AB09","Danaparoid","Danaparoid natrium","29861","Danaparoid-Natrium ((MW: ca. 5500 Da))","NCATS GSRS (UNII BI6GY4U9CW)","add_cas_name",""
"M03CA01","Dantrolen","Dantrolen natrium-3,5-Wasser","12534","Dantrolen-Natrium-3,5-Hydrat","BfArM BEZVO","add_cas_name",""
"V03AC01","Deferoxamin","Deferoxamin mesilat","7166","Deferoxaminmesilat","BfArM BEZVO","add_cas_name",""
"G01AC05|R02AA20","Dequalinium|Verschiedene","Dequalinium chlorid","975","Dequaliniumchlorid","BfArM BEZVO","add_cas_name",""
"H01BA02","Desmopressin","Desmopressin acetat-3-Wasser","23270","Desmopressinacetat-Trihydrat","BfArM BEZVO","add_cas_name",""
"H01BA02","Desmopressin","Desmopressin-x-acetat-y-Wasser","11869","Desmopressin (Ph.Eur.)","BfArM BEZVO","add_cas_name","No single CAS is assigned because the acetate and water stoichiometry is variable. "
"S01BA01","Dexamethason","Dexamethason 21-(3-sulfobenzoat), Natriumsalz","1196","Dexamethason-21-(3-sulfobenzoat)-Natrium","BfArM BEZVO","add_cas_name",""
"S01BA01","Dexamethason","Dexamethason dihydrogenphosphat-Dinatrium","2114","Dexamethasondihydrogenphosphat-Dinatrium (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"C02DB01","Dihydralazin","Dihydralazin mesilat","11406","Dihydralazinmesilat","BfArM BEZVO","add_cas_name",""
"C02DB01","Dihydralazin","Dihydralazin sulfat","6151","Dihydralazinsulfat","BfArM BEZVO","add_cas_name",""
"D04AA13|R06AB03","Dimetinden|Dimetinden","Dimetinden maleat","3817","Dimetindenmaleat","BfArM BEZVO","add_cas_name",""
"G04BC50","Andere Harnkonkrement loesende Mittel, Kombinationen","Dinatriumhydrogenphosphat-2-Wasser","12711","Natriummonohydrogenphosphat-Dihydrat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"V03AB06","Thiosulfat","Dinatriumthiosulfat-5-Wasser","224","Natriumthiosulfat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"N07AA03","Distigmin","Distigmin bromid","4776","Distigminbromid","BfArM BEZVO","add_cas_name",""
"R01AX30","Kombinationen","DL-a-Tocopherol acetat","328","all-rac-α-Tocopherolacetat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"N06DA02","Donepezil","Donepezil hydrochlorid","27637","Donepezilhydrochlorid","BfArM BEZVO","add_cas_name",""
"C01CA04","Dopamin","Dopamin hydrochlorid","10620","Dopaminhydrochlorid","BfArM BEZVO","add_cas_name",""
"R07AB01","Doxapram","Doxapram hydrochlorid","8602","Doxapramhydrochlorid (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"C09AA02","Enalapril","Enalapril maleat","23100","Enalaprilmaleat","BfArM BEZVO","add_cas_name",""
"C01CA26","Ephedrin","Ephedrin hydrochlorid","120","Ephedrinhydrochlorid","BfArM BEZVO","add_cas_name",""
"C07AB09","Esmolol","Esmolol hydrochlorid","22892","Esmololhydrochlorid","BfArM BEZVO","add_cas_name",""
"J04AK02","Ethambutol","Ethambutol dihydrochlorid","1594","Ethambutoldihydrochlorid","BfArM BEZVO","add_cas_name",""
"R04AP30","Kombinationen","Eucalyptusöl","36051","Eucalyptusöl, raffiniert","PubChem; ECHA","add_cas_name",""
"G02CA03|R03AC04|R03AL01","Fenoterol|Fenoterol|Fenoterol und Ipratropiumbromid","Fenoterol hydrobromid","6253","Fenoterolhydrobromid","BfArM BEZVO","add_cas_name",""
"D02AX00","","Fettsäuren (C18:2), ungesättigt","15405","Ungesättigte Fettsäuren","BfArM BEZVO","add_cas_name","invalid ATC Code in DWH, is removed in FHIR Mapping; C18:2 fatty acid mixture; not a single chemically defined substance, no CAS available"
"C01BC04","Flecainid","Flecainid acetat","21899","Flecainidacetat","BfArM BEZVO","add_cas_name",""
"N05AF01","Flupentixol","Flupentixol decanoat","3371","Flupentixoldecanoat","BfArM BEZVO","add_cas_name",""
"S01BC04","Flurbiprofen","Flurbiprofen natrium-2-Wasser","16603","Flurbiprofen-Natrium-Dihydrat","BfArM BEZVO","add_cas_name",""
"R03AC13|R03AK07|R03AK08|R03AL05|R03AL09|R03AL11","Formoterol|Formoterol und Budesonid|Formoterol und Beclometason|Formoterol und Aclidiniumbromid|Formoterol, Glycopyrroniumbromid und Beclometason|Formoterol, Glycopyrroniumbromid und Budesonid","Formoterol hemifumarat-1-Wasser","23761","Formoterolfumarat-Dihydrat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"R03AC13|R03AK07|R03AK08|R03AL05|R03AL09|R03AL11","Formoterol|Formoterol und Budesonid|Formoterol und Beclometason|Formoterol und Aclidiniumbromid|Formoterol, Glycopyrroniumbromid und Beclometason|Formoterol, Glycopyrroniumbromid und Budesonid","Formoterol hemifumarat-1-Wasser","23761","Formoterolfumarat-Dihydrat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"J05AD01","Foscarnet","Foscarnet natrium-6-Wasser","27424","Foscarnet-Natrium-Hexahydrat","BfArM BEZVO","add_cas_name",""
"J01GB03|S01AA11","Gentamicin|Gentamicin","Gentamicin sulfat","3989","Gentamicinsulfat","BfArM BEZVO","add_cas_name",""
"J01GB03|S01AA11","Gentamicin|Gentamicin","Gentamicin sulfat","3989","Gentamicinsulfat","BfArM BEZVO","add_cas_name",""
"J06BA02","Immunglobuline, normal human, zur intravasalen Anwendung","Gesamt-Plasmaprotein (human)","10679","Plasmaproteine vom Menschen","BfArM BEZVO","add_cas_name",""
"H04AA01","Glucagon","Glucagon, rekombiniert","6851","Glucagon","BfArM BEZVO","add_cas_name",""
"V04CA02","Glucose","Glucose-1-Wasser","133","Glucose-Monohydrat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"B05BA11|V07AB10","Glucose|Verschiedene Verduennungsloesungen","Glucose, wasserfrei zur parenteralen Anwendung","12829","Glucose","BfArM BEZVO","add_cas_name",""
"R03AL04|R03AL09|R03AL12|R03BB06|R03AL11","Indacaterol und Glycopyrroniumbromid|Formoterol, Glycopyrroniumbromid und Beclometason|Indacaterol, Glycopyrroniumbromid und Mometason|Glycopyrroniumbromid|Formoterol, Glycopyrroniumbromid und Budesonid","Glycopyrronium-Kation","36604","Glycopyrronium","BfArM BEZVO","add_cas_name",""
"V04CM01","Gonadorelin","Gonadorelin acetat","14444","Gonadorelinacetat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"B01AB01|C05BA03","Heparin|Heparin","Heparin natrium vom Schwein","1165","Heparin-Natrium","BfArM BEZVO","add_cas_name",""
"N05CP30","Kombinationen","Hopfenzapfen-Trockenextrakt","1128","Hopfenzapfen","PubChem CID 23308253","add_cas_name",""
"B06AA03","Hyaluronidase","Hyaluronidase vom Rind","2094","Hyaluronidase","BfArM BEZVO","add_cas_name",""
"S01KA01|S01XA45","Hyaluronsaeure|Hyaluronsaeure","Hyaluronsäure","12770","Hyaluronsäure ((mit Angaben zur Herkunft))","BfArM BEZVO","add_cas_name",""
"S01KA01|S01XA45","Hyaluronsaeure|Hyaluronsaeure","Hyaluronsäure","12770","Hyaluronsäure ((mit Angaben zur Herkunft))","BfArM BEZVO","add_cas_name",""
"N02AA03","Hydromorphon","Hydromorphon hydrochlorid","108","Hydromorphonhydrochlorid","BfArM BEZVO","add_cas_name",""
"P01BA02","Hydroxychloroquin","Hydroxychloroquin sulfat","7415","Hydroxychloroquinsulfat","BfArM BEZVO","add_cas_name",""
"S01KA02|S01XC05","Hypromellose|Hypromellose","Hypromellose","1333","Hypromellose ((ohne Angaben zum Substitutionstyp und zur Viskosität))","BfArM BEZVO","add_cas_name",""
"M01AE01","Ibuprofen","Ibuprofen DL-lysin","23391","Ibuprofen-ᴅʟ-Lysin (1:1)","BfArM BEZVO","add_cas_name",""
"C03BA11","Indapamid","Indapamid-0,5-Wasser","12253","Indapamid-Hemihydrat","PubChem CID 23725081","add_cas_name",""
"V04CX01","Indocyaningruen","Indocyaningrün, Mononatriumsalz","10754","Indocyaningrün-Mononatriumsalz","BfArM BEZVO","add_cas_name",""
