atc_code,atc_display,dwh_wirkstoff,found_ask,cas_display,cas_name_source,action_import,comment
G04BD06,Propiverin,Propiverin hydrochlorid,23144,Propiverinhydrochlorid,BEZVO CSV,add_cas_name,
C07AA05,Propranolol,Propranolol hydrochlorid,7597,Propranololhydrochlorid,BEZVO CSV,add_cas_name,
V03AB14,Protamin,Protamin sulfat,1151,Protaminsulfat ((mit Angaben zur Herstellung und zum Schwefelsäure-Gehalt)),BEZVO CSV,add_cas_name,
B01AD12,Protein C,Protein C (human),10669,Protein C,BEZVO CSV,add_cas_name,Human plasma-derived Protein C matched; no unambiguous CAS confirmed.
S01HA04,Proxymetacain,Proxymetacain hydrochlorid,5881,Proxymetacainhydrochlorid,BEZVO CSV,add_cas_name,
R01BA60,Pseudoephedrin und Cetirizin,Pseudoephedrin hydrochlorid,9585,Pseudoephedrinhydrochlorid,BEZVO CSV,add_cas_name,
N07AA02,Pyridostigmin,Pyridostigmin bromid,701,Pyridostigminbromid,BEZVO CSV,add_cas_name,
A11HA02|J04AC51|N07XB52,"Pyridoxin (Vitamin B6)|Isoniazid, Kombinationen|Thiamin, Kombinationen",Pyridoxin hydrochlorid,275,Pyridoxinhydrochlorid,BEZVO CSV,add_cas_name,
R03CC14,Reproterol,Reproterol hydrochlorid,12122,Reproterolhydrochlorid,BEZVO CSV,add_cas_name,
A11CA01|R01AX30|X99XK01,Retinol (Vitamin A)|Kombinationen|,Retinol palmitat,832,Retinolpalmitat,BEZVO CSV,add_cas_name,
M03AC09,Rocuroniumbromid,Rocuronium bromid,25794,Rocuroniumbromid,BEZVO CSV,add_cas_name,
N01BB09,Ropivacain,Ropivacain hydrochlorid,33612,Ropivacainhydrochlorid,BEZVO CSV,add_cas_name,
A12CE02,Natriumselenit,Selen(IV)-Ion,43772,Selen(Ⅳ)-Ion,BEZVO CSV,add_cas_name,
V03AE02,Sevelamer,Sevelamer carbonat,34815,Sevelamercarbonat,BEZVO CSV,add_cas_name,
G04BD08,Solifenacin,Solifenacin succinat,25892,Solifenacinsuccinat,BEZVO CSV,add_cas_name,
C07AA07,Sotalol,Sotalol hydrochlorid,11569,Sotalolhydrochlorid,BEZVO CSV,add_cas_name,
M03AB01,Suxamethonium,Suxamethonium chlorid,523,Suxamethoniumchlorid (Ph.Eur.),BEZVO CSV,add_cas_name,
G04CA02|G04CA52,Tamsulosin|Tamsulosin und Dutasterid,Tamsulosin hydrochlorid,23010,Tamsulosinhydrochlorid,BEZVO CSV,add_cas_name,
J05AF07|J05AR03,Tenofovirdisoproxil|Tenofovirdisoproxil und Emtricitabin,Tenofovir disoproxil,30971,Tenofovirdisoproxil,BEZVO CSV,add_cas_name,
R03CC03,Terbutalin,Terbutalin hemisulfat,5727,Terbutalinsulfat (Ph.Eur.),BEZVO CSV,add_cas_name,
H01BA04,Terlipressin,Terlipressin diacetat-5-Wasser,34476,Terlipressindiacetat-Pentahydrat,BEZVO CSV,add_cas_name,
G03BA03,Testosteron,Testosteron undecanoat,12858,Testosteronundecanoat,BEZVO CSV,add_cas_name,
J06BB02,Tetanus-Immunglobulin,Tetanus-Immunglobulin vom Menschen,35195,Immunglobuline gegen Tetanustoxin,BEZVO CSV,add_cas_name,Human tetanus immunoglobulin has no assigned CAS.
S01GA02,Tetryzolin,Tetryzolin hydrochlorid,5159,Tetryzolinhydrochlorid,BEZVO CSV,add_cas_name,
C01CA30,Kombinationen,Theodrenalin hydrochlorid,5831,Theodrenalinhydrochlorid,BEZVO CSV,add_cas_name,
A11DA01|N07XB52,"Thiamin (Vitamin B1)|Thiamin, Kombinationen",Thiamin hydrochlorid,30,Thiaminchloridhydrochlorid,BEZVO CSV,add_cas_name,
B02BC51,"Blutgerinnungsfaktoren, Kombinationen",Thrombin (human),27195,Thrombin,BEZVO CSV,add_cas_name,
N02AX51,Tilidin und Naloxon,Tilidin hydrochlorid,35727,Tilidinhydrochlorid,BEZVO CSV,add_cas_name,
M03BX04,Tolperison,Tolperison hydrochlorid,12375,Tolperisonhydrochlorid,BEZVO CSV,add_cas_name,
N02AX02,Tramadol,Tramadol hydrochlorid,8720,Tramadolhydrochlorid,BEZVO CSV,add_cas_name,
N06AX05,Trazodon,Trazodon hydrochlorid,18677,Trazodonhydrochlorid,BEZVO CSV,add_cas_name,
H02AB58,Triamcinolon-Depot,Triamcinolon acetonid,1036,Triamcinolonacetonid,BEZVO CSV,add_cas_name,
G04BD09,Trospium,Trospium chlorid,7051,Trospiumchlorid,BEZVO CSV,add_cas_name,
R03AL03|R03AL08,"Vilanterol und Umeclidiniumbromid|Vilanterol, Umeclidiniumbromid und Fluticasonfuroat",Umeclidinium-Kation,36621,Umeclidinium,BEZVO CSV,add_cas_name,
N03AG01,Valproinsaeure,Valproat natrium,8342,Natriumvalproat,BEZVO CSV,add_cas_name,
C08DA01,Verapamil,Verapamil hydrochlorid,5771,Verapamilhydrochlorid,BEZVO CSV,add_cas_name,
R01AA07,Xylometazolin,Xylometazolin hydrochlorid,6397,Xylometazolinhydrochlorid,BEZVO CSV,add_cas_name,
D06BB00,,Zinksulfat-7-Wasser,364,Zinksulfat-Heptahydrat,BEZVO CSV,add_cas_name,
N05CF02,Zolpidem,Zolpidem hemitartrat,22790,Zolpidemtartrat (Ph.Eur.),BEZVO CSV,add_cas_name,
V10XX05,(177Lu)Lutetiumvipivotidtetraxetan,[177Lu]Lutetium vipivotid tetraxetan,46023,(177Lu)Lutetiumvipivotidtetraxetan,BEZVO CSV,add_cas_name,
V03AB43,DMPS,"rac-(2R)-2,3-Bis(sulfanyl)propan-1-sulfonsäure, Natriumsalz",16542,"rac-(2R)-2,3-Bis(sulfanyl)propan-1-sulfonsäure-Natriumsalz",BEZVO CSV,add_cas_name,
C01AA02,Acetyldigoxin,ß-Acetyldigoxin,2074,β-Acetyldigoxin,BEZVO CSV,add_cas_name,
B05AX41,Erythrozyten ohne Pharmazentralnummer,"Erythrozyten, UNbestrahlt ITIB",21444,Human-Erythrozyten,BEZVO CSV,add_cas_name,DWH term refers to human erythrocytes; no specific CAS applies.
B03AA01|B03AA03,Eisen(II)glycinsulfat|Eisen(II)gluconat,Eisen(II)-Ion,1311,Eisen(Ⅱ)-Ion,BEZVO CSV,add_cas_name,
B03AB05|B03AC01|B03AC02|B03AC07,Eisen(III)hydroxid-Polymaltose-Komplex|Eisen(III)hydroxid-Polymaltose-Komplex|Eisen(III)oxid-Saccharose-Komplex|Eisen(III)natrium-Gluconat-Komplex,Eisen(III)-Ion,1402,Eisen(Ⅲ)-Ion,BEZVO CSV,add_cas_name,
A07DA02,Opium,"Opiumtinktur, eingestellt",239,Eingestellte Opiumtinktur,DWH,add_cas_name,
