atc_code,atc_display,dwh_wirkstoff,found_ask,cas_display,cas_name_source,action_import,comment
A01AB03,Chlorhexidin,Chlorhexidin digluconat,4898,Chlorhexidinbis(ᴅ-gluconat),BEZVO CSV,add_cas_name,
P01BA01,Chloroquin,Chloroquin phosphat,6547,Chloroquinphosphat (Ph.Eur.),BEZVO CSV,add_cas_name,
N05AF03,Chlorprothixen,Chlorprothixen hydrochlorid,6910,Chlorprothixenhydrochlorid,BEZVO CSV,add_cas_name,
L04AD01,Ciclosporin,"Ciclosporin, mikroemulgiert",22510,Ciclosporin,BEZVO CSV,add_cas_name,
C05AD04,Cinchocain,Cinchocain hydrochlorid,2813,Cinchocainhydrochlorid,BEZVO CSV,add_cas_name,
M03AC11,Cisatracurium,Cisatracurium-Kation,37589,Cisatracurium,BEZVO CSV,add_cas_name,
N05CM02,Clomethiazol,Clomethiazol edisilat,6968,Clomethiazolhemiedisilat,BEZVO CSV,add_cas_name,
C02AC01|N07BB11|S01EA04,Clonidin|Clonidin|Clonidin,Clonidin hydrochlorid,4866,Clonidinhydrochlorid,BEZVO CSV,add_cas_name,
M03AX21,Botulinumtoxin Typ A,Clostridium botulinum (Onabotulinum) Toxin Typ A,26170,Botulinum-Toxin Typ A zur Injektion (Ph.Eur.),BEZVO CSV,add_cas_name,
R05DA04,Codein,"Codein phosphat-0,5-Wasser",87,Codeinphosphat-Hemihydrat,BEZVO CSV,add_cas_name,
N06BC01,Coffein,Coffein citrat,879,Coffein-Citronensäure-Gemisch (1:1),BEZVO CSV,add_cas_name,
C10AC01,Colestyramin,Colestyramin,4629,"Colestyramin ((mit Zusatz einer Zahl, die durch 10 geteilt, den ungefähren Prozent-Gehalt an Diethenylbenzol angibt))",BEZVO CSV,add_cas_name,
S01GX01,Cromoglicinsaeure,"Cromoglicinsäure, Dinatriumsalz",21625,Natriumcromoglicat (Ph.Eur.),BEZVO CSV,add_cas_name,
S01FA04,Cyclopentolat,Cyclopentolat hydrochlorid,6937,Cyclopentolathydrochlorid,BEZVO CSV,add_cas_name,
R06AX02,Cyproheptadin,Cyproheptadin hydrochlorid,7244,Cyproheptadinhydrochlorid,BEZVO CSV,add_cas_name,
B05XA19,Calciumgluconat,"D-Gluconsäure, Calciumsalz-1-Wasser",60,Calciumgluconat-Monohydrat,BEZVO CSV,add_cas_name,
R01AX30,Kombinationen,DL-a-Tocopherol acetat,328,all-rac-α-Tocopherolacetat (Ph.Eur.),BEZVO CSV,add_cas_name,
B01AE07,Dabigatranetexilat,Dabigatran etexilat,30260,Dabigatranetexilat,BEZVO CSV,add_cas_name,
M03CA01,Dantrolen,"Dantrolen natrium-3,5-Wasser",12534,"Dantrolen-Natrium-3,5-Hydrat",BEZVO CSV,add_cas_name,
V03AC01,Deferoxamin,Deferoxamin mesilat,7166,Deferoxaminmesilat,BEZVO CSV,add_cas_name,
G01AC05|R02AA20,Dequalinium|Verschiedene,Dequalinium chlorid,975,Dequaliniumchlorid,BEZVO CSV,add_cas_name,
H01BA02,Desmopressin,Desmopressin acetat-3-Wasser,23270,Desmopressinacetat-Trihydrat,BEZVO CSV,add_cas_name,
H01BA02,Desmopressin,Desmopressin-x-acetat-y-Wasser,11869,Desmopressin (Ph.Eur.),BEZVO CSV,add_cas_name,No single CAS is assigned because the acetate and water stoichiometry is variable.
S01BA01,Dexamethason,"Dexamethason 21-(3-sulfobenzoat), Natriumsalz",1196,Dexamethason-21-(3-sulfobenzoat)-Natrium,BEZVO CSV,add_cas_name,
S01BA01,Dexamethason,Dexamethason dihydrogenphosphat-Dinatrium,2114,Dexamethasondihydrogenphosphat-Dinatrium (Ph.Eur.),BEZVO CSV,add_cas_name,
C02DB01,Dihydralazin,Dihydralazin mesilat,11406,Dihydralazinmesilat,BEZVO CSV,add_cas_name,
C02DB01,Dihydralazin,Dihydralazin sulfat,6151,Dihydralazinsulfat,BEZVO CSV,add_cas_name,
D04AA13|R06AB03,Dimetinden|Dimetinden,Dimetinden maleat,3817,Dimetindenmaleat,BEZVO CSV,add_cas_name,
G04BC50,"Andere Harnkonkrement loesende Mittel, Kombinationen",Dinatriumhydrogenphosphat-2-Wasser,12711,Natriummonohydrogenphosphat-Dihydrat (Ph.Eur.),BEZVO CSV,add_cas_name,
V03AB06,Thiosulfat,Dinatriumthiosulfat-5-Wasser,224,Natriumthiosulfat (Ph.Eur.),BEZVO CSV,add_cas_name,
N07AA03,Distigmin,Distigmin bromid,4776,Distigminbromid,BEZVO CSV,add_cas_name,
N06DA02,Donepezil,Donepezil hydrochlorid,27637,Donepezilhydrochlorid,BEZVO CSV,add_cas_name,
C01CA04,Dopamin,Dopamin hydrochlorid,10620,Dopaminhydrochlorid,BEZVO CSV,add_cas_name,
R07AB01,Doxapram,Doxapram hydrochlorid,8602,Doxapramhydrochlorid (Ph.Eur.),BEZVO CSV,add_cas_name,
C09AA02,Enalapril,Enalapril maleat,23100,Enalaprilmaleat,BEZVO CSV,add_cas_name,
C01CA26,Ephedrin,Ephedrin hydrochlorid,120,Ephedrinhydrochlorid,BEZVO CSV,add_cas_name,
C07AB09,Esmolol,Esmolol hydrochlorid,22892,Esmololhydrochlorid,BEZVO CSV,add_cas_name,
J04AK02,Ethambutol,Ethambutol dihydrochlorid,1594,Ethambutoldihydrochlorid,BEZVO CSV,add_cas_name,
G02CA03|R03AC04|R03AL01,Fenoterol|Fenoterol|Fenoterol und Ipratropiumbromid,Fenoterol hydrobromid,6253,Fenoterolhydrobromid,BEZVO CSV,add_cas_name,
D02AX00,,"Fettsäuren (C18:2), ungesättigt",15405,Ungesättigte Fettsäuren,BEZVO CSV,add_cas_name,C18:2 fatty acid mixture; not a single chemically defined substance.
C01BC04,Flecainid,Flecainid acetat,21899,Flecainidacetat,BEZVO CSV,add_cas_name,
N05AF01,Flupentixol,Flupentixol decanoat,3371,Flupentixoldecanoat,BEZVO CSV,add_cas_name,
S01BC04,Flurbiprofen,Flurbiprofen natrium-2-Wasser,16603,Flurbiprofen-Natrium-Dihydrat,BEZVO CSV,add_cas_name,
R03AC13|R03AK07|R03AK08|R03AL05|R03AL09|R03AL11,"Formoterol|Formoterol und Budesonid|Formoterol und Beclometason|Formoterol und Aclidiniumbromid|Formoterol, Glycopyrroniumbromid und Beclometason|Formoterol, Glycopyrroniumbromid und Budesonid",Formoterol hemifumarat-1-Wasser,23761,Formoterolfumarat-Dihydrat (Ph.Eur.),BEZVO CSV,add_cas_name,DWH name is a naming variant of formoterol fumarate dihydrate.
J05AD01,Foscarnet,Foscarnet natrium-6-Wasser,27424,Foscarnet-Natrium-Hexahydrat,BEZVO CSV,add_cas_name,
J01GB03|S01AA11,Gentamicin|Gentamicin,Gentamicin sulfat,3989,Gentamicinsulfat,BEZVO CSV,add_cas_name,
J06BA02,"Immunglobuline, normal human, zur intravasalen Anwendung",Gesamt-Plasmaprotein (human),10679,Plasmaproteine vom Menschen,BEZVO CSV,add_cas_name,
H04AA01,Glucagon,"Glucagon, rekombiniert",6851,Glucagon,BEZVO CSV,add_cas_name,
B05BA11|V07AB10,Glucose|Verschiedene Verduennungsloesungen,"Glucose, wasserfrei zur parenteralen Anwendung",12829,Glucose,BEZVO CSV,add_cas_name,DWH name denotes anhydrous glucose; the parenteral-use qualifier does not change the substance.
V04CA02,Glucose,Glucose-1-Wasser,133,Glucose-Monohydrat (Ph.Eur.),BEZVO CSV,add_cas_name,
R03AL04|R03AL09|R03AL12|R03BB06|R03AL11,"Indacaterol und Glycopyrroniumbromid|Formoterol, Glycopyrroniumbromid und Beclometason|Indacaterol, Glycopyrroniumbromid und Mometason|Glycopyrroniumbromid|Formoterol, Glycopyrroniumbromid und Budesonid",Glycopyrronium-Kation,36604,Glycopyrronium,BEZVO CSV,add_cas_name,DWH name denotes glycopyrronium cation without specified stereochemistry.
V04CM01,Gonadorelin,Gonadorelin acetat,14444,Gonadorelinacetat (Ph.Eur.),BEZVO CSV,add_cas_name,
B01AB01|C05BA03,Heparin|Heparin,Heparin natrium vom Schwein,1165,Heparin-Natrium,BEZVO CSV,add_cas_name,
B06AA03,Hyaluronidase,Hyaluronidase vom Rind,2094,Hyaluronidase,BEZVO CSV,add_cas_name,
S01KA01|S01XA45,Hyaluronsaeure|Hyaluronsaeure,Hyaluronsäure,12770,Hyaluronsäure ((mit Angaben zur Herkunft)),BEZVO CSV,add_cas_name,DWH name is a shortened form of the BEZVO hyaluronic acid record.
N02AA03,Hydromorphon,Hydromorphon hydrochlorid,108,Hydromorphonhydrochlorid,BEZVO CSV,add_cas_name,
P01BA02,Hydroxychloroquin,Hydroxychloroquin sulfat,7415,Hydroxychloroquinsulfat,BEZVO CSV,add_cas_name,
M01AE01,Ibuprofen,Ibuprofen DL-lysin,23391,Ibuprofen-ᴅʟ-Lysin (1:1),BEZVO CSV,add_cas_name,
V04CX01,Indocyaningruen,"Indocyaningrün, Mononatriumsalz",10754,Indocyaningrün-Mononatriumsalz,BEZVO CSV,add_cas_name,
A10AD05,Insulin aspart,Insulin aspart-Isophan,24022,Insulin aspart,BEZVO CSV,add_cas_name,
A10AD04,Insulin lispro,Insulin lispro-Isophan,26888,Insulin lispro,BEZVO CSV,add_cas_name,
A10AB01,Insulin (human),"Insulin, normal (human)",22265,Insulin human ((mit Angaben zur Herstellung)),BEZVO CSV,add_cas_name,
A10AC01,Insulin (human),Insulin-Isophan (human),11940,Isophan-Insulin-Suspension zur Injektion (Ph.Eur.),BEZVO CSV,add_cas_name,
H03AA51|H03CA01,Levothyroxin-Natrium und Iod-Verbindungen|Iodide,Iodid-Ion,1329,Iodid,BEZVO CSV,add_cas_name,
R03AL01,Fenoterol und Ipratropiumbromid,Ipratropium bromid-1-Wasser,19720,Ipratropiumbromid (Ph.Eur.),BEZVO CSV,add_cas_name,
C01CA02,Isoprenalin,Isoprenalin hydrochlorid,7442,Isoprenalinhydrochlorid,BEZVO CSV,add_cas_name,
C01DA08,Isosorbiddinitrat,Isosorbid dinitrat,5595,Isosorbiddinitrat,BEZVO CSV,add_cas_name,
C01DA14,Isosorbidmononitrat,Isosorbid mononitrat,21993,Isosorbidmononitrat,BEZVO CSV,add_cas_name,
C03DA02,Kaliumcanrenoat,Kalium canrenoat,7205,Kaliumcanrenoat,BEZVO CSV,add_cas_name,
S01AA24,Kanamycin,Kanamycin sulfat-1-Wasser,2231,Kanamycinmonosulfat (Ph.Eur.),BEZVO CSV,add_cas_name,
J01GB03,Gentamicin,Kollagen vom Pferd,18245,Kollagen ((mit Angaben zur Herkunft)),BEZVO CSV,add_cas_name,
V03AE03,Lanthan(III)-carbonat,Lanthan(III)-Ion,34213,Lanthan(Ⅲ)-carbonat-Hydrat ((mit Angaben zum Wasser-Gehalt (1:x))),BEZVO CSV,add_cas_name,
C08CA13,Lercanidipin,Lercanidipin hydrochlorid,24911,Lercanidipinhydrochlorid,BEZVO CSV,add_cas_name,
R06AE09,Levocetirizin,Levocetirizin dihydrochlorid,31082,Levocetirizindihydrochlorid,BEZVO CSV,add_cas_name,
N02AC06|N07BC05,Levomethadon|Levomethadon,Levomethadon hydrochlorid,7540,Levomethadonhydrochlorid,BEZVO CSV,add_cas_name,
A01AE51|C01BB01|N01BB02|N01BB52|R02AA20,"Lidocain, Kombinationen|Lidocain|Lidocain|Lidocain, Kombinationen|Verschiedene",Lidocain hydrochlorid-1-Wasser,1693,Lidocainhydrochlorid-Monohydrat,BEZVO CSV,add_cas_name,
N06BA12,Lisdexamfetamin,Lisdexamfetamin dimesilat,37246,Lisdexamfetamindimesilat,BEZVO CSV,add_cas_name,
A07DA03,Loperamid,Loperamid hydrochlorid,11844,Loperamidhydrochlorid,BEZVO CSV,add_cas_name,
C05BB02|D04AB11,Polidocanol (Lauromacrogol 400)|Polidocanol (Lauromacrogol 400),Macrogol-9-laurylether,39034,"Lauromacrogol 400 (Ph.Eur.) ((Bezeichnung nur zulässig, wenn der Stoff arzneilich wirksamer Bestandteil ist))",BEZVO CSV,add_cas_name,
N05AD03,Melperon,Melperon hydrochlorid,11063,Melperonhydrochlorid,BEZVO CSV,add_cas_name,
N06DX01,Memantin,Memantin hydrochlorid,16705,Memantinhydrochlorid,BEZVO CSV,add_cas_name,
N01BB03,Mepivacain,Mepivacain hydrochlorid,5638,Mepivacainhydrochlorid,BEZVO CSV,add_cas_name,
L01BB02,Mercaptopurin,Mercaptopurin-1-Wasser,21855,Mercaptopurin-Monohydrat,BEZVO CSV,add_cas_name,
N02BB02,Metamizol-Natrium,Metamizol natrium-1-Wasser,258,Metamizol-Natrium-Monohydrat,BEZVO CSV,add_cas_name,
A10BA02|A10BD07,Metformin|Metformin und Sitagliptin,Metformin hydrochlorid,6150,Metforminhydrochlorid,BEZVO CSV,add_cas_name,
N07BC02,Methadon,Methadon hydrochlorid,6581,Methadonhydrochlorid,BEZVO CSV,add_cas_name,
G02AB01,Methylergometrin,Methylergometrin maleat,13057,Methylergometrinmaleat,BEZVO CSV,add_cas_name,
A06AH01,Methylnaltrexonbromid,Methylnaltrexonium bromid,35885,Methylnaltrexonbromid,BEZVO CSV,add_cas_name,
N06BA04,Methylphenidat,Methylphenidat hydrochlorid,6085,Methylphenidathydrochlorid,BEZVO CSV,add_cas_name,
D07AC14,Methylprednisolonaceponat,Methylprednisolon aceponat,23093,Methylprednisolonaceponat,BEZVO CSV,add_cas_name,
V03AB17|V04CX00,Methylthioniniumchlorid|,Methylthioninium chlorid,197,Methylthioniniumchlorid,BEZVO CSV,add_cas_name,
A03FA01,Metoclopramid,Metoclopramid hydrochlorid-1-Wasser,10700,Metoclopramidhydrochlorid-Monohydrat,BEZVO CSV,add_cas_name,
C07AB02,Metoprolol,Metoprolol succinat,11953,Metoprololsuccinat (Ph.Eur.),BEZVO CSV,add_cas_name,
C07AB02,Metoprolol,Metoprolol tartrat,11849,Metoprololtartrat (Ph.Eur.),BEZVO CSV,add_cas_name,
D01AC20|D01AC52,"Imidazole/Triazole in Kombination mit Corticosteroiden|Miconazol, Kombinationen",Miconazol nitrat,9653,Miconazolnitrat,BEZVO CSV,add_cas_name,
N06AX17,Milnacipran,Milnacipran hydrochlorid,26504,Milnacipranhydrochlorid,BEZVO CSV,add_cas_name,
M03AC10,Mivacuriumchlorid,Mivacurium-Kation,36141,Mivacurium,BEZVO CSV,add_cas_name,
D07AC13|R01AD09|R03AL12,"Mometason|Mometason|Indacaterol, Glycopyrroniumbromid und Mometason",Mometason furoat,24367,Mometasonfuroat (Ph.Eur.),BEZVO CSV,add_cas_name,
